Original_Japanese,Translated_English
尋問室を後にして、わたしの部屋に戻った。身体中に囚人の流した血と汗と愛液の臭いがこびりついている‥‥‥,"Leaving the interrogation room behind, I returned to my own  room.The stench of the Prissoner's blood, sweat, and bodily   fluids clung to my entire body..."
情報部のわたしの部屋に戻った。すぐにでも尋問を始めなければならないというのに、わたしの体は疲労で言う事をきかない。,"I returned to my room in the Intelligence Division. Even     though I had to start interrogations immediately, my body    refused to obey, overcome by exhaustion."
しかし、休んでいる暇はない。早くしなければ‥‥‥,But there was no time to rest. I had to hurry...
ミツコの尋問を終えたわたしは、自分の部屋に戻った。ミツコの自白した内容は、非常にショッキングなものだった‥‥‥,"After finishing Mitsuko's interrogation, I returned to my ownroom. The content of Mitsuko's confession was utterly shocking..."
彼女が言った事は、それを信じるならば、日本を支配するひとつの大企業の信用を地に落しめるほど重要な事なのだから。,"If what she said is to be believed, it's something significant enough to destroy the credibility of one of the major corporations ruling Japan."
サカタ・ネオテクに行く前に、アンナと加藤に相談しなければならないだろう。わたしの一存ではどうする事も出来ない。,"Before going to Sakata Neotech, I'll have to consult with Anna and Kato. I can't decide this on my own."
もっとも、加藤にしたところで何とかなるだろうか。軍とサカタ・ネオテクは親密な関係にあるというし‥‥‥,"Then again, what could Kato possibly do? They say the military and Sakata Neotech have close ties..."
それでも相談しない訳にはいかないだろうな。これは、高度に政治的な問題でもある。わたしの首だけでは済まない問題だ。,"Still, I have no choice but to consult them. This is also a highly political issue. It's not a matter that would end with just my head on the line."
情報部内の、わたしの自室に戻った。,I returned to my private office within the Intelligence Division.
　セーブ　,　Save　
 　移動　 ,　Move　
　ファイル１　,　File 1　
　ファイル２　,　File 2　
　ファイル３　,　File 3　
　ファイル４　,　File 4　
　ファイル５　,　File 5　
セーブしました,Successfully saved to File 1. 
セーブしました,Successfully saved to File 2.
セーブしました,Successfully saved to File 3.
セーブしました,Successfully saved to File 4.
セーブしました,Successfully saved to File 5.
　アンナのオフィス　,Anna's Office
　　アンナの部屋　　,Anna's Room
　　　外に出る　　　,Outside
机の中には、加藤から受け取った事件に関する情報が入っている。しかし、軍部がわたしより事件に詳しいとは思えない。,Inside the desk are the case files I received from Kato. But I doubt the military knows more about the case than I do.
もしそうなら、わざわざ嫌いなわたしに捜査を依頼する訳がない。その隣にあるベッドよりも役に立たない代物だ。,"If he did, he wouldn't have gone out of his way to assign theinvestigation to someone he dislike like me. It's less usefulthan the bed next to it."
机と端末の事は、もう忘れるべきだろう。それよりも、早く囚人達を拷問にかけたい‥‥‥,"I should forget about the desk and terminal. More            importantly, I want to start torturing those prisoners       soon..."
机の中に入った報告書や調書の類も、データベースの中の情報も出所は軍部だ、役に立ちそうな物は何もないはずだ。,"The reports and documents inside the desk, as well as the    information in the database, all originate from the military.There shouldn't be anything useful."
加藤が事件の核心部分について何も話さないという事は、軍部もその方針でいこうと決めたって事‥‥‥,Kato not revealing anything about the core of the case means the military has decided to go along with that policy...
だとすれば、データベースの中身も知れている。彼らが隠そうとする情報を得るなど、ハッカーでないわたしには不可能な事だ。,"If that's the case, then the contents of the database are    predictable. Obtaining the information they're trying to hideis impossible for someone like me who isn't a hacker."
机の中には、加藤から受け取った事件に関する情報が入っている。しかし、軍部がわたしより事件に詳しいとは思えない。,Inside the desk are the case files I received from Kato. But I doubt the military knows more about the case than I do.
 　　エイプリル　　 ,April
　　　レイファ　　　,Lei-Fa
　　　　ナナ　　　　,Nana
 　　　ミツコ　　　 ,Mitsuko
 　　　エリコ　　　 ,Eriko
 　　　プリス　　　 ,Priss
 　　キャンセル　　 ,Cancel
エイプリルが隠し持ったチップは回収した。中身はわたしにはわからないが、軍部が解析するだろう。,"I recovered the chip April hid. I don't know what's inside   it, but the military will analyze it."
おそらく、彼女達が軍から盗んだ情報が記録されているはずだ。もうエイプリルから得られる事は、何もない。,It probably contains information they stole from the         military. There's nothing more to get from April now.
エイプリルを再び捕らえるまでは、尋問する事も出来ない。エリコは、彼女がまだ情報を隠していると言ったが‥‥‥,I can't interrogate April until I recapture her. Eriko said  she's still hiding information...
エイプリルはもう尋問した後だ。これ以上何かを知っているとは思えない、尋問しても無駄だろう。,"I've already interrogated April. I don't believe she knows   anything more, further questioning would be pointless."
エリコは、レイファの刺青に機密を記録したと言っていた。刺青を撮影すればいい訳だな‥‥‥,Eriko said she recorded secret information in Lei-Fa's       tattoo. So I just need to photograph the tattoo...
レイファを再び捕らえるまでは、尋問する事も出来ない。刺青の中に情報を隠し持っていると言っていたな‥‥‥,I can't interrogate Lei-Fa until I recapture her. Eriko said she had information hidden within the tattoo...
レイファはもう尋問した後だ。これ以上何かを知っているとは思えない、尋問しても無駄だろう。,"I've already interrogated Lei-Fa. I don't believe she knows  anything more, further questioning would be pointless."
ナナはもう十分に可愛がってやったはずだ。それよりも、尋問しなければならない相手がいる‥‥‥,"I've already pampered Nana enough. More importantly, there's someone else I need to interrogate..."
ナナは逃走中だ。尋問は出来ない。,Nana is on the run. I can't interrogate her.
苦痛に耐性を持たないミツコは、呆気ないくらい簡単に自白する。これ以上何かを隠している事はないだろう。,Mitsuko has no tolerance for pain and confesses with         surPrissing ease. She probably isn't hiding anything else.
ミツコは逃走中だ。尋問は出来ない。,Mitsuko is on the run. I can't interrogate her.
ミツコからはもう十分に情報を得ている。これ以上やっても意味はないだろう。,I've already gotten enough information from Mitsuko. There's no point in going any further.
エリコはもうわたしの奴隷同然、あの子が本物のマゾヒストだったのは驚きだが、これ以上尋問するのは無駄だろう。,"Eriko is practically my slave now. It was surPrissing she was a genuine masochist, but further interrogation would be      pointless."
エリコは逃走中だ、尋問は出来ない。,Eriko is on the run. I can't interrogate her.
エリコはどんな悲鳴をあげるのだろう‥‥‥あまり我慢強い方ではなさそうだし、呆気なく弱音を吐きそうだ。,"I wonder what kind of screams Eriko will make... She doesn't seem particularly resilient, and she probably might break    down surPrissingly easily."
プリスが他の５人の囚人よりも何かを知っている事は明白だ。彼女を尋問すれば、事件の全てがわかるだろう。,It's clear Prisss knows more than the other five prisoners.   Interrogating her would reveal everything about the incident.
プリスを尋問する前に、エイプリルとレイファが何を隠しているのかを明らかにするべきだろう‥‥‥,"Before interrogating Priss, we should uncover what April and Lei-Fa are hiding..."
はるか頭上から街を照らしている灯かりは、厚い雲に覆われてほとんどその威力を発揮していない。,"The lights illuminating the city from far above are barely   effective, obscured by thick clouds."
ただでさえ常に夜のような街は、さらに暗くなってしまった。こういう時は、悪質な犯罪が急激に増えることだろう。,"The city, already perpetually night-time, has grown even     darker. Times like this usually see a sharp rise in violent  crimes."
窓の外の小さな公園に何かに不満を訴えるデモ隊が集まり、情報部のビルに向かって奇声を上げている。,"Outside the window, a small park holds a protest group       voicing grievances, shouting strange cries toward the        Intelligence Division building."
わたしの部屋からはほとんど何も聞こえないし、まさか武力行使に訴えるとも思えない、つまりほとんど何の影響もない訳。,"Hardly anything reaches my room, and I doubt they'd resort   to force-meaning it has almost no impact."
しかし、この種のデモやもっと始末に負えないテロ行為は増える一方。軍の統制力に陰りが見えてきたようだ‥‥‥,"Yet, these kinds of protests and even more uncontrollable    terrorist acts keep increasing. It seems the military's      control is beginning to show cracks..."
はるか頭上から街を照らしている灯かりは、厚い雲に覆われてほとんどその威力を発揮していない。,"The lights illuminating the city from far above are barely   effective, obscured by thick clouds."
