Original_Japanese,Translated_English
尋問室を後にして、わたしの部屋に戻った。身体中に囚人の流した血と汗と愛液の臭いがこびりついている‥‥‥,"Leaving the interrogation room behind, I returned to my room.The stench of the prisoner's blood, sweat, and bodily fluids clung to my entire body..."
情報部のわたしの部屋に戻った。すぐにでも尋問を始めなければならないというのに、わたしの体は疲労で言う事をきかない。,"I returned to my room in the Intelligence Division. Even     though I had to start interrogations immediately, my body    refused to obey, overcome by exhaustion."
しかし、休んでいる暇はない。早くしなければ‥‥‥,But there was no time to rest. I had to hurry...
情報部の中にある、わたしの部屋だ。,This was my room within the Intelligence Division.
尋問室とは名ばかりの牢獄を後にして、自分の部屋に戻った。最初の計画どおり、エイプリルとレイファを捕え、尋問した。,"Leaving behind the interrogation room -a prison in name only-I returned to my own room. As planned, I had arrested and    interrogated April and Lei-Fa."
しかし、あまり有益と思われる情報は得られなかった‥‥‥どちらも事件の首謀者の道具にすぎなかったのだろうか？,But I hadn't gained much useful information... Were they bothmerely tools of the mastermind behind the incident?
わたしに残された手がかりは、３人目の囚人ナナが千葉に逃げ込んだと言う事だけ。それで一体どうすればいい？,"The only clue left to me is that the third prisoner, Nana.   that had escaped to Chiba. So what should I do?"
　セーブ　,Save
 　移動　 ,Move
　ファイル１　,File 1
　ファイル２　,File 2
　ファイル３　,File 3
　ファイル４　,File 4
　ファイル５　,File 5
セーブしました,Saved
セーブしました,Saved
セーブしました,Saved
セーブしました,Saved
セーブしました,Saved
　アンナのオフィス　,Anna's Office
　　アンナの部屋　　,Anna's Room　　
　　　外に出る　　　,　　　Exit
机の中に入った報告書や調書の類も、データベースの中の情報も出所は軍部だ、役に立ちそうな物は何もないはずだ。,"The reports and records in the desk drawer, as well as the   information in the database, all originate from the military.There shouldn't be anything useful."
加藤が事件の核心部分について何も話さないという事は、軍部もその方針でいこうと決めたって事‥‥‥,Kato refusing to discuss the core of the case means that the military has decided to go along with that policy...
だとすれば、データベースの中身も知れている。彼らが隠そうとする情報を得るなど、ハッカーでないわたしには不可能な事だ。,"If that's the case, then the contents of the database are    predictable. Obtaining the information they're trying to hideis impossible for someone like me who isn't a hacker."
机の中には、加藤から受け取った事件に関する情報が入っている。しかし、軍部がわたしより事件に詳しいとは思えない。,Inside the desk are the case-related materials I received    from Kato. But I doubt the military knows more about the casethan I do.
もしそうなら、わざわざ嫌いなわたしに捜査を依頼する訳がない。その隣にあるベッドよりも役に立たない代物だ。,"If they did, they wouldn't have gone out of their way to     assign the investigation to someone they dislike like me. It is less useful than the bed next to it."
机の中に入った報告書や調書の類も、データベースの中の情報も出所は軍部だ、役に立ちそうな物は何もないはずだ。,"The reports and documents inside the desk, as well as the    information in the database, all originate from the military.There shouldn't be anything useful."
拷問の時に使う、様々な道具が入っている。どれも囚人に最高の苦痛と屈辱を与える為に、わたし自身が選んだ物ばかりだ。,Inside are various tools used for torture. Each one was      personally selected by me to inflict the utmost pain and     humiliation on prisoners.
しかし肝心の囚人がいないからには、それらの道具を使う事も出来ない。お楽しみの時間の前に困難な任務を片付けなければ。,"But without the crucial prisoner, I can't use these tools.   I must complete a difficult mission before the fun begins."
そろそろ尋問を始めるとしよう。待ちに待ったお楽しみの時間だ。さて、尋問すべき囚人は‥‥‥‥‥‥,"It's about time to start the interrogation. My long-awaited  fun time. Now, the prisoner interrogate is..."
　　　　ナナ　　　　,Nana　　　　
 　　　ミツコ　　　 ,Mitsuko　　　 
 　　キャンセル　　 ,Cancel　　 
ナナを尋問してみよう。彼女はただの兵士、しかもオペレーターにすぎない。少し苦痛を与えれば全てを吐くだろう。,"Let's interrogate Nana. She's just an ex soldier, merely an  operator. A little pain will make her confess everything."
しかし、あまり簡単に事が済んでしまってはわたしの愉しみが半減する。たっぷり嬲ってから‥‥‥,"But if things go too smoothly, my enjoyment will be halved.  After thoroughly torturing her..."
